SK_ID_CURR,TARGET
100001,0.025526393153506736
100005,0.08202348402401897
100013,0.01117033786581244
100028,0.032749057425744826
100038,0.14496112297558453
100042,0.02157560532297997
100057,0.013994249153383563
100065,0.044551521606344645
100066,0.017072745385923165
100067,0.10190517658673118
100074,0.09083344426451911
100090,0.04319091052168213
100091,0.21241028316999086
100092,0.0906603427020349
100106,0.09465288576098418
100107,0.1570592040872938
100109,0.056219765031486665
100117,0.026491111685545292
100128,0.06733027183469431
100141,0.019900273463741645
100150,0.020738647849494144
100168,0.03636916416684334
100169,0.025377689995811237
100170,0.09926903451120764
100171,0.052060874999853936
100172,0.07391913327478083
100184,0.09163646026271131
100187,0.09989412392463139
100212,0.060425117687905955
100222,0.05549753026264759
100223,0.02172046481694712
100232,0.021674580572987948
100241,0.16552711751091997
100245,0.01655924538115507
100253,0.021574593142615412
100256,0.09932656355676339
100271,0.03625466332459566
100278,0.22323478417544745
100280,0.013461932944541507
100306,0.1616240403330922
100311,0.10538639020648434
100312,0.03258811367402582
100330,0.09853433120773879
100331,0.036158595536976285
100352,0.1029113114919281
100358,0.0856716637559836
100367,0.028311727917699626
100382,0.1693281536785661
100384,0.15474884934943967
100385,0.055823117717431335
100386,0.04645396308021023
100399,0.01990577908087448
100404,0.06895520501769054
100416,0.018614248636992844
100422,0.0959762753302981
100426,0.023062129258066354
100438,0.03057521885166465
100444,0.19393819863513717
100445,0.23600033505396462
100446,0.12071245331554768
100447,0.028398801306401763
100450,0.09275116815604452
100466,0.018380548587830104
100483,0.024863981491425515
100484,0.029690256168962786
100494,0.08667844821883591
100510,0.1693976345854556
100512,0.01773692167811684
100517,0.030401910881202324
100548,0.05229898889144844
100551,0.050184748851850716
100552,0.07106998509003191
100553,0.031202828232259436
100561,0.07535920167822852
100568,0.5413773928738411
100569,0.015210439120954999
100591,0.09287558343436059
100592,0.03874127257316221
100602,0.10779308130021349
100607,0.05061256146606825
100613,0.1960368226032965
100617,0.15949234178730595
100618,0.08791962314066122
100622,0.0703454067382608
100625,0.1405429990760667
100677,0.1945971432464652
100699,0.0448013688445232
100702,0.4149873647002004
